鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,Unnamed: 5,Unnamed: 6,1120511,土地2建物1車位1,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,Unnamed: 14,153.94,3,1,2,有,無,15190000,115127,坡道平面,34.42,1430000,Unnamed: 26,RPPNMLPKNHIGFCJ38CB,星都?C區,3D棟11F號,Unnamed: 30,來源資料夾,新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,Unnamed: 4,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,278.29,4.1,4.2,39890000,143340,Unnamed: 23,0.0,0,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,187.52,乙種建築用地,1121112,287.1,39970000,139220,RPUNMLNKJIIGFBJ28CB,壹山2D,D棟1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之29.32。,,,,,112_04,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,72.92,,山坡地保育區,丙種建築用地,1121019.0,土地7建物1車位1,二層,7.0,華廈(10層含以下有電梯),住家用,217.85,4.0,2.0,27080000.0,127459.0,坡道平面,17.55,1550000.0,RPXNMLOJJIIGFCJ68CB,宏道新竹帝寶8區1號,F1棟2F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,,,,,112_04,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1121021.0,土地13建物1車位2,三層,7.0,華廈(10層含以下有電梯),住家用,231.21,4.0,2.0,28490000.0,127278.0,坡道平面,30.94,3000000.0,RPOOMLOJJIIGFCJ87CB,宏道新竹帝寶8區2號,K1棟3F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。同戶另有翊全開發股份有限公司辦理契約備查，序號G1JC11108160001,,,,,112_04,寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.73,,山坡地保育區,丙種建築用地,1121026.0,土地13建物1車位2,四層,7.0,華廈(10層含以下有電梯),住家用,231.21,4.0,2.0,28830000.0,129725.0,坡道平面,30.94,2850000.0,RPPOMLOJJIIGFCJ97CB,宏道新竹帝寶8區2號,I1棟4F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,19.55,住,,,1121013.0,土地4建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,139.67,2.0,2.0,10610000.0,91024.0,坡道平面,36.84,1250000.0,RPPNMLPJJIIGFCJ97CB,至善高第,A6-8F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,19.25,住,,,1121013.0,土地4建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,138.7,2.0,2.0,11110000.0,95818.0,坡道平面,36.84,1350000.0,RPQNMLPJJIIGFCJ08CB,至善高第,B5-11F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,11.19,商,,,1121029.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,117.29,2.0,1.0,10910000.0,101417.0,坡道平面,27.66,1820000.0,RPPNMLQJJIIGFBJ97CB,竹科臻邦,B6棟14F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.92,商,,,1121029.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,116.45,2.0,1.0,10660000.0,105113.0,坡道平面,29.02,1470000.0,RPQNMLQJJIIGFBJ08CB,竹科臻邦,C6棟10F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,14.28,商,,,1121104.0,土地1建物1車位2,四層,15.0,住宅大樓(11層含以上有電梯),住家用,174.18,3.0,2.0,13620000.0,97294.0,坡道機械,59.27,2440000.0,RPRNMLQJJIIGFBJ18CB,竹科臻邦,A3棟4F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,15.96,商,,,1121104.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,155.49,3.0,2.0,14800000.0,102715.0,坡道平面,27.66,1670000.0,RPSNMLQJJIIGFBJ28CB,竹科臻邦,B5棟8F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口一街,39.67,住,,,1121103.0,土地1建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),住家用,192.09,3.0,2.0,39370000.0,227466.0,坡道平面,30.0,2500000.0,RPUNMLQJJIIGFBJ48CB,鴻磬,D-02F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市東華段1188-19地號,93.57,,鄉村區,乙種建築用地,1121015.0,土地2建物1車位0,全,4.0,透天厝,住家用,235.35,4.0,5.0,33000000.0,140217.0,,0.0,0.0,RPVNMLQJJIIGFBJ58CB,耘川,B棟10號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市東華段1188-44地號,92.79,,鄉村區,乙種建築用地,1121015.0,土地2建物1車位0,全,3.0,透天厝,住家用,222.93,3.0,3.0,26800000.0,120217.0,,0.0,0.0,RPXNMLQJJIIGFBJ78CB,耘川,D棟2號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市東華段1188-43地號,106.45,,鄉村區,乙種建築用地,1121026.0,土地2建物1車位0,全,3.0,透天厝,住家用,220.23,3.0,3.0,26500000.0,120329.0,,0.0,0.0,RPOOMLQJJIIGFBJ97CB,耘川,D棟1號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市東華段1188-11地號,199.96,,鄉村區,乙種建築用地,1121021.0,土地2建物1車位0,全,4.0,透天厝,住家用,267.94,4.0,5.0,39300000.0,146675.0,,0.0,0.0,RPPOMLQJJIIGFBJ08CB,耘川,B棟1號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市東華段1188-31地號,93.17,,鄉村區,乙種建築用地,1121021.0,土地2建物1車位0,全,3.0,透天厝,住家用,248.04,3.0,4.0,30300000.0,122158.0,,0.0,0.0,RPQOMLQJJIIGFBJ18CB,耘川,C棟11號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮敦睦街2巷,35.2,住,,,1121027.0,土地2建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,108.73,3.0,2.0,11910000.0,105615.0,升降機械,4.01,850000.0,RPPNMLQJJIIGFCJ08CB,弘揚睦,E棟7號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,21.04,,一般農業區,甲種建築用地,1121028.0,土地1建物1車位1,十二層,12.0,住宅大樓(11層含以上有電梯),住家用,107.57,2.0,1.0,7980000.0,82054.0,坡道平面,24.82,1190000.0,RPQNMLQJJIIGFDJ28CB,富來新苑,D3棟12F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,28.81,,一般農業區,甲種建築用地,1121029.0,土地1建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),住家用,138.11,3.0,2.0,10020000.0,78383.0,坡道平面,24.82,1140000.0,RPRNMLQJJIIGFDJ38CB,富來新苑,D2棟11F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,28.85,,一般農業區,甲種建築用地,1121101.0,土地1建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),住家用,138.28,3.0,2.0,9750000.0,75886.0,坡道平面,24.82,1140000.0,RPSNMLQJJIIGFDJ48CB,富來新苑,D5棟3F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,1.0,有,無,,,,,,,,,,,112_04,湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,25.57,,一般農業區,甲種建築用地,1121101.0,土地1建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),住家用,125.47,3.0,2.0,9300000.0,81073.0,坡道平面,24.82,1140000.0,RPTNMLQJJIIGFDJ58CB,富來新苑,E1棟9F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,1.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物),新竹縣新豐鄉明新街,39.52,住,,,1121103.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,121.31,3.0,2.0,13000000.0,107163.0,,0.0,0.0,RPUNMLQJJIIGFDJ68CB,青耘,D棟4號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,,,,,112_04,芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉下山村7鄰79號旁,36.3,,特定農業區,甲種建築用地,1121028.0,土地1建物1車位1,九層,9.0,華廈(10層含以下有電梯),住家用,168.44,0.0,1.0,19580000.0,128265.0,一樓平面,30.6,1900000.0,RPPNMLQJJIIGFCJ18DB,坤玥居,C棟9F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路360號旁,25.22,住,,,1121017.0,土地8建物1車位1,九層,11.0,住宅大樓(11層含以上有電梯),住家用,159.7,3.0,2.0,20200000.0,149644.0,坡道平面,37.41,1900000.0,RPPNMLRJJIIGFBJ08CB,駿辰一匯,A2棟9F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路360號旁,25.31,住,,,1121020.0,土地8建物1車位1,七層,11.0,住宅大樓(11層含以上有電梯),住家用,173.89,3.0,2.0,21000000.0,151602.0,坡道平面,51.2,2400000.0,RPQNMLRJJIIGFBJ18CB,駿辰一匯,A3棟7F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路360號旁,17.9,住,,,1121022.0,土地8建物1車位1,十一層,11.0,住宅大樓(11層含以上有電梯),住家用,124.22,2.0,2.0,14780000.0,158737.0,一樓平面,37.41,1000000.0,RPRNMLRJJIIGFBJ28CB,駿辰一匯,A3-1棟11F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,0.0,無,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市臺元段614地號,5398.71,工,,,1121102.0,土地1建物10車位281,10F、11F、12F、13F,13.0,廠辦,工業用,25030.66,0.0,0.0,1845000000.0,89830.0,坡道平面,8410.33,352000000.0,RPSNMLRJJIIGFBJ38CB,台元科技園區第十期,2B棟2B-10F~13F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,3.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物),新竹縣竹北市新竹縣竹北市文化街213號旁,107.07,住,,,1121022.0,土地1建物1車位0,全,5.0,透天厝,住家用,337.63,5.0,5.0,39800000.0,117881.0,,0.0,0.0,RPTNMLRJJIIGFBJ48CB,心邸家,B棟0號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,35.13,,特定農業區,甲種建築用地,1121017.0,土地2建物1車位2,五層,9.0,華廈(10層含以下有電梯),住家用,163.02,3.0,2.0,16950000.0,112882.0,坡道平面,39.44,3000000.0,RPUNMLRJJIIGFBJ58CB,川知間,A1棟5號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,34.73,,特定農業區,甲種建築用地,1121016.0,土地2建物1車位2,九層,9.0,公寓(5樓含以下無電梯),住家用,161.68,3.0,2.0,17700000.0,118619.0,坡道平面,39.44,3200000.0,RPVNMLRJJIIGFBJ68CB,川知間,A9棟9號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,34.73,,特定農業區,甲種建築用地,1121018.0,土地2建物1車位1,四層,9.0,華廈(10層含以下有電梯),住家用,141.96,3.0,2.0,15600000.0,114529.0,坡道平面,19.72,1600000.0,RPWNMLRJJIIGFBJ78CB,川知間,A2棟4號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,35.53,,特定農業區,甲種建築用地,1121022.0,土地2建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,144.43,3.0,2.0,15300000.0,109053.0,坡道平面,19.72,1700000.0,RPXNMLRJJIIGFBJ88CB,川知間,A1棟3號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,35.13,,特定農業區,甲種建築用地,1121027.0,土地2建物1車位1,六層,9.0,華廈(10層含以下有電梯),住家用,143.3,3.0,2.0,15800000.0,114096.0,坡道平面,19.72,1700000.0,RPOOMLRJJIIGFBJ08CB,川知間,A1棟6號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,34.93,,特定農業區,甲種建築用地,1121103.0,土地2建物1車位2,三層,9.0,華廈(10層含以下有電梯),住家用,162.81,3.0,2.0,16450000.0,111859.0,坡道平面,39.44,2650000.0,RPPOMLRJJIIGFBJ18CB,川知間,A2棟3號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹北市,房地(土地+建物)+車位,新竹縣竹北市溪洲路221巷,34.93,,特定農業區,甲種建築用地,1121104.0,土地2建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,141.96,3.0,2.0,16150000.0,118619.0,坡道平面,19.72,1650000.0,RPQOMLRJJIIGFBJ28CB,川知間,A2棟8號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮資源段900地號,22.55,住,,,1121104.0,土地1建物1車位1,二層,11.0,住宅大樓(11層含以上有電梯),住家用,105.49,2.0,1.0,8980000.0,89222.0,坡道機械,15.49,950000.0,RPPNMLRJJIIGFCJ18CB,臻研臻心,B棟2號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善段24地號,20.02,住,,,1121020.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,140.63,3.0,2.0,12860000.0,106925.0,坡道平面,33.92,1450000.0,RPQNMLRJJIIGFCJ28CB,喬立青空繪,E棟12樓號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善段24地號,20.02,住,,,1121021.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,139.49,3.0,2.0,12150000.0,101209.0,坡道平面,32.78,1350000.0,RPRNMLRJJIIGFCJ38CB,喬立青空繪,E棟3樓號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善段24地號,20.02,住,,,1121031.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,139.49,3.0,2.0,12340000.0,101584.0,坡道平面,32.78,1500000.0,RPSNMLRJJIIGFCJ48CB,喬立青空繪,D棟2樓號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善段24地號,20.02,住,,,1121101.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,140.63,3.0,2.0,13180000.0,108518.0,坡道平面,33.92,1600000.0,RPTNMLRJJIIGFCJ58CB,喬立青空繪,E棟14樓號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善段24地號,20.02,住,,,1121104.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,140.63,3.0,2.0,12350000.0,100740.0,坡道平面,33.92,1600000.0,RPUNMLRJJIIGFCJ68CB,喬立青空繪,E棟2樓號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,18.68,住,,,1121014.0,土地1建物1車位1,五層,9.0,華廈(10層含以下有電梯),住家用,98.51,2.0,1.0,10500000.0,117113.0,坡道機械,14.83,700000.0,RPPNMLRJJIIGFDJ28CB,富來.森之青,B6棟5F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,0.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,15.74,住,,,1121021.0,土地1建物1車位1,一層,9.0,華廈(10層含以下有電梯),商業用,85.42,0.0,1.0,9750000.0,128205.0,坡道機械,14.83,700000.0,RPQNMLRJJIIGFDJ38CB,富來.森之青,S16棟1F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,18.68,住,,,1121020.0,土地1建物1車位1,四層,9.0,華廈(10層含以下有電梯),住家用,98.51,2.0,1.0,10800000.0,115918.0,坡道機械,14.83,1100000.0,RPRNMLRJJIIGFDJ48CB,富來.森之青,B6棟4F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,26.22,住,,,1121027.0,土地1建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,139.18,3.0,2.0,15500000.0,115755.0,坡道平面,21.69,1900000.0,RPSNMLRJJIIGFDJ58CB,富來.森之青,A1棟8F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,18.94,住,,,1121028.0,土地1建物1車位1,七層,9.0,華廈(10層含以下有電梯),住商用,99.8,2.0,1.0,10540000.0,115806.0,坡道機械,14.83,700000.0,RPTNMLRJJIIGFDJ68CB,富來.森之青,C3棟7F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,18.94,住,,,1121104.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,99.8,2.0,1.0,10460000.0,114864.0,坡道機械,14.83,700000.0,RPUNMLRJJIIGFDJ78CB,富來.森之青,A3棟3F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,26.25,住,,,1121104.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,139.28,3.0,2.0,15250000.0,114380.0,坡道平面,21.69,1800000.0,RPVNMLRJJIIGFDJ88CB,富來.森之青,A6棟3F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉坪頂段1093地號,26.28,住,,,1121104.0,土地1建物1車位1,四層,9.0,華廈(10層含以下有電梯),住家用,132.65,3.0,2.0,13920000.0,112205.0,坡道機械,14.83,700000.0,RPWNMLRJJIIGFDJ98CB,富來.森之青,B3棟4F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,22.44,,一般農業區,甲種建築用地,1121025.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,109.24,2.0,1.0,8420000.0,79963.0,坡道平面,22.2,1460000.0,RPXNMLRJJIIGFDJ09CB,心豐花園,B1棟2F號,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋼筋混凝土造,,,,,2.0,有,無,,,,,,,,,,,112_04,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,29.83,,一般農業區,甲種建築用地,1121029.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,137.89,3.0,2.0,10770000.0,80474.0,坡道平面,22.2,1460000.0,RPOOMLRJJIIGFDJ28CB,心豐花園,B6棟3F號,,,,,,,,,
